no	id	skk_key	notation	reading	method	judgment	note
369	954648-140-0020	はm	塡	はむ	JMdict	o	
370	954648-647-0034	りょうじつ	良日	りゃう-じつ	JMdict	o	
371	954648-380-0003	ほんじどう	本地堂	ほんぢ-だう	align	o	
372	954646-058-0021	くらいのけ	位毛	くらゐ-の-け	align	o	
373	954648-697-0033	わるずれ	惡擦	わる-ずれ	L	o	
374	954647-153-0004	そこいたり	底至	そこ-いたり	align	o	
375	954647-206-0038	たいひせい	貸費生	たいひせい	JMdict	o	
376	954648-248-0001	ふえのし	笛師	ふえ-の-し	align	o	
377	954647-051-0032	せいけん	生絹	せい-けん	JMdict	o	
378	954647-491-0035	とうぐうぶかん	東宮武官	とうぐう-ぶくわん	align	o	
379	954648-654-0048	りょりょくふ	膂力婦	りょりょく-ふ	align	o	
380	954646-486-0023	しおおいかぜ	潮追風	しほ-おひかぜ	align	o	
381	954648-012-0055	にころs	煮殺	に-ころす	JMdict	o	
382	954646-057-0009	くらべのつかさ	藏部司	くらべ-の-つかさ	align	o	
383	954648-057-0032	ねんじゅ	年壽	ねんじゅ	align	o	
384	954645-616-0062	きりはなr	切離	きり-はなれる	JMdict	o	
385	954647-197-0039	だいすうがく	代數學	だいすう-がく	L	o	
386	954647-444-0007	ちょうはん	朝班	てう-はん	align	o	
387	954648-431-0004	みいろもくろく	三色目錄	みいろ-もくろく	align	o	
388	954646-478-0014	じひせい	自費生	じひせい	align	o	
389	954645-512-0060	かんおう	寒燠	かん-あう	align	o	
390	954647-074-0013	しょうし	小枝	せうし	align	o	
391	954647-308-0014	じきとう	直稻	ぢき-たう	align	o	
392	954648-011-0013	にげおおs	逃果	にげ-おほす	JMdict	o	
393	954647-082-0028	しょうろう	小牢	せうらう	align	o	
394	954646-608-0013	しんたい	身體	しんたい	L	o	
395	954647-195-0015	だいしゃじせい	大寫字生	だい-しゃじせい	align	o	
396	954646-304-0027	ごりょうまつり	御靈祭	ごりゃう-まつり	align	o	
397	954647-331-0031	ちょうそんさい	町村債	ちゃうそん-さい	align	o	
398	954645-411-0045	かさすがた	笠姿	かさ-すがた	align	o	
399	954648-433-0015	みかのもちい	三日餅	みかの-もちひ	JMdict	o	
400	954648-452-0022	みずなわ	水繩	みづなは	align	o	
401	954645-049-0026	あたりぼう	當棒	あたり-ぼう	JMdict	o	
402	954647-379-0011	つうはつりゅう	通發流	つうはつ-りう	align	o	
