no	id	skk_key	notation	reading	method	judgment	note
268	954648-395-0003	まけいしゅらてん	摩醯修羅天	まけいしゅら-てん	align	o	
269	954648-714-0004	えぼしがい	烏帽子貝	ゑぼし-がひ	JMdict	o	
270	954648-520-0069	もくろみ	目論	もくろろみ	JMdict	o	
271	954645-600-0017	きょうしんかい	共進會	きょうしん-くわい	L	o	
272	954648-198-0007	ひちしゃ	被治者	ひ-ちしゃ	L	o	
273	954647-134-0014	せんめん	錢面	せん-めん	align	o	
274	954647-039-0025	ずいちょう	瑞兆	ずゐ-てう	L	o	
275	954648-088-0015	ばいろう	培樓	ばい-ろう	align	o	
276	954647-551-0044	とりすt	取捨	とりすつ	JMdict	o	
277	954647-402-0003	つつぐち	筒口	つつ-ぐち	L	o	
278	954648-124-0017	はなおち	花落	はな-おち	JMdict	o	
279	954647-448-0028	できそこない	出來損	でき-そこなひ	L	o	
280	954646-134-0011	きょうぶしょう	教部省	けうぶしゃう	L	o	
281	954646-381-0027	さえずり	囀	さへづり	L	o	
282	954648-220-0031	ひょうしもの	拍子物	ひゃうし-もの	align	o	
283	954648-572-0029	ゆきがた	行方	ゆき-がた	L	o	
284	954648-531-0007	ものごと	物事	もの-ごと	L	o	
285	954648-613-0013	よりおや	寄親	より-おや	align	o	
286	954645-088-0030	ありつぎ	蟻繼	あり-つぎ	JMdict	o	
287	954645-295-0044	おちゃや	御茶屋	お-ちゃや	JMdict	o	
288	954645-050-0027	あt	當	あつ	L	o	
289	954645-181-0003	いりだい	熬鯛	いりだひ	align	o	
290	954646-446-0038	しぜん	四善	し-ぜん	align	o	
291	954646-200-0044	こうふく	公服	こうふく	align	o	
292	954646-443-0037	じしょ	璽書	じしょ	L	o	
293	954645-070-0063	あまぐもり	雨曇	あま-ぐもり	JMdict	o	
294	954648-339-0031	べんもん	便門	べん-もん	align	o	
295	954646-106-0028	かんび	官費	くわん-び	align	o	
296	954647-342-0021	ちゅうかい	中海	ちゅう-かい	align	o	
297	954647-359-0006	ちょっけいいんぞく	直系姻族	ちょくけい-いんぞく	L	o	
298	954645-568-0014	きつねずし	狐鮓	きつね-ずし	align	o	
299	954645-572-0020	きねやざくら	杵屋櫻	きねや-ざくら	align	o	
300	954646-297-0004	こまやき	駒燒	こま-やき	align	o	
301	954645-561-0051	きとうりゅう	起倒流	きたうりう	align	o	
302	954646-527-0020	しゃしょく	社稷	しゃしょく	L	o	
303	954645-275-0026	おいごころ	老心	おい-ごころ	align	o	
304	954647-086-0045	せきこくすう	積石數	せき-こくすう	align	o	
305	954645-590-0008	きょうどう	經堂	きゃう-だう	L	o	
306	954648-057-0026	ねんしじょう	年始状	ねんし-じゃう	JMdict	o	
307	954648-195-0027	ひだt	肥立	ひだつ	L	o	
308	954646-536-0061	じゅうへい	戎兵	じゅう-へい	align	o	
309	954645-205-0036	うすざむi	薄寒	うすざむし	JMdict	o	
310	954645-409-0008	かこt	託	かこつ	L	o	
311	954646-148-0023	けつじん	闕人	けつじん	align	o	
312	954648-674-0012	れんよ	輦輿	れん-よ	align	o	
313	954646-341-0022	そうぞくじけん	相續事件	さうぞく-じけん	align	o	
314	954645-147-0035	いっぱんしき	一般式	いっぱん-しき	JMdict	o	
315	954646-124-0045	けいs	刑	けいす	JMdict	o	
316	954648-705-0028	いなおり	居直	ゐ-なほり	L	o	
317	954646-499-0015	しょうこういほう	商行爲法	しゃうかうゐ-はふ	align	o	
318	954648-662-0011	るいせん	涙腺	るゐ-せん	L	o	
319	954647-149-0014	ぞくせい	俗姓	ぞく-せい	L	o	
320	954647-377-0024	つうしんぎょうせい	通信行政	つうしん-ぎゃうせい	align	o	
